strain,host,plasmid,medium,OD_abs.mean,OD_abs.se,OD_abs.errorpro,OD_culture.mean,OD_norm.mean,OD_norm.median,OD_norm.se,OD_norm.errorpro,OD_norm.rel,OD_norm.rel.errorpro,mumax.mean,mumax.se,mumax.rel,mumax.rel.errorpro,auc.mean,auc.se,auc.rel,auc.rel.errorpro,maxOD.mean,maxOD.se,maxOD.rel,maxOD.rel.errorpro
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,LB,0.0861,0.000668724,0.001058649,0.580766665,0.152078219,0.152963676,0.007861213,0.012950461,1.072446435,0.091325873,0.68785269,0.00832278,0.936428174,0.026441601,13.56050656,0.243633735,1.068063738,0.026859362,0.706566671,0.008161718,1.072071639,0.02408158
MG1655+Stm,MG1655+Stm,NA,LB,0.178366668,0.003983441,0.005633437,0.560022222,0.318430232,0.321076701,0.021031384,0.029742868,1,0.093404662,0.606421259,0.013312387,1,0.031045347,12.53090819,0.101544746,1,0.01146014,0.669433335,0.004176176,1,0.008822393
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,LB,0.161733332,0.004473074,0.005749324,0.618744446,0.262521122,0.250801272,0.022849984,0.02868369,0.824422732,0.090078412,0.58353113,0.00852954,0.962253749,0.025378095,12.55009883,0.108725181,1.001531464,0.011880715,0.67566667,0.003508776,1.00931136,0.008192548
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,LB,0.22027778,0.007639822,0.00908668,0.559811109,0.394350462,0.359328918,0.042602055,0.049933087,1.238420296,0.156810132,0.577372032,0.021031021,0.952097281,0.040491773,12.32202699,0.252958957,0.983330721,0.021702612,0.661200007,0.007559325,0.987701049,0.012863825
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,LB,0.182111112,0.004381067,0.005977857,0.548488892,0.332666907,0.325331888,0.023665353,0.032292467,1.044708931,0.101411435,0.546747171,0.00112993,0.901596313,0.019879693,12.08319735,0.061661228,0.964271477,0.009234307,0.658900003,0.002783488,0.984265301,0.007415592
MG1655+Stm_pKPC,MG1655+Stm,pKPC,LB,0.253933335,0.010445084,0.011885316,0.543633332,0.467607696,0.426353832,0.058460795,0.066117269,1.468477705,0.207635025,0.612896855,0.014362861,1.010678379,0.032453278,12.83063888,0.182084955,1.023919311,0.016732976,0.688633343,0.005455314,1.028680986,0.010372578
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,LB,0.210966667,0.00514424,0.006975771,0.53559999,0.398983563,0.382390641,0.035943474,0.044568432,1.25297011,0.139962943,0.569862856,0.015498323,0.93971451,0.032843808,12.48127734,0.154519659,0.996039325,0.014737837,0.676366667,0.001224892,1.010357016,0.006563199
cESBL1,cESBL1,NA,LB,0.08161111,0.000791787,0.001119756,0.621399999,0.131489916,0.126659386,0.004315884,0.006103582,1,0.046418628,0.58121863,0.016461176,1,0.040053117,13.23021117,0.096514567,1,0.010316707,0.68173333,0.005473808,1,0.011355075
cESBL15,cESBL15,NA,LB,0.083433333,0.001096529,0.001550726,0.679433333,0.122542882,0.122641511,0.002198361,0.003108952,1,0.025370322,0.737647442,0.008789338,1,0.016850869,14.6332362,0.062304382,1,0.006021341,0.732033332,0.00330056,1,0.006376345
cESBL15_pESBL1,cESBL15,pESBL1,LB,0.080355556,0.000635695,0.001232644,0.673522227,0.119617031,0.119325942,0.003602077,0.004192819,0.97612386,0.034215117,0.745814209,0.032255339,1.011071369,0.04535653,14.47660684,0.113657533,0.989296328,0.008835713,0.731399993,0.003131741,0.999134822,0.006212584
cESBL15_pESBL15,cESBL15,pESBL15,LB,0.082844445,0.00080573,0.001354498,0.677533335,0.122697335,0.12602697,0.00463263,0.005128961,1.001260401,0.041854417,0.847804756,0.021837501,1.149335994,0.03261837,14.56373559,0.058593687,0.995250496,0.005830069,0.728199998,0.003417599,0.994763443,0.006474003
cESBL15_pESBL25,cESBL15,pESBL25,LB,0.219544446,0.003966134,0.004904655,0.556333337,0.39430665,0.412304398,0.020453279,0.021641938,2.998759607,0.164590098,0.571865125,0.018015614,0.775255349,0.026111621,12.7288191,0.185709281,0.869856738,0.013220299,0.681833327,0.005110592,0.931423881,0.008147134
cESBL15_pKPC,cESBL15,pKPC,LB,0.083333334,0.00066574,0.001281681,0.685900006,0.121780139,0.120436418,0.003492486,0.0041195,0.926155725,0.031329397,0.70675542,0.043693369,0.958120885,0.06032354,15.13798584,0.075496079,1.034493371,0.006783657,0.784633318,0.009276098,1.071854632,0.013561967
cESBL15_pOXA48,cESBL15,pOXA48,LB,0.079555557,0.00052258,0.001168887,0.673955566,0.11866051,0.11656079,0.003503171,0.004099223,0.968318261,0.033451332,0.65676913,0.033690197,0.890356412,0.04688844,13.53213298,0.338779936,0.924753267,0.023483827,0.703499993,0.016692917,0.961021804,0.023211512
cESBL1_pESBL1,cESBL1,pESBL1,LB,0.07721111,0.000734184,0.001048892,0.627344436,0.123124329,0.119012825,0.003333704,0.005238864,0.936378489,0.039842327,0.551851968,0.006356286,0.949473984,0.029029578,12.93305902,0.110366767,0.977539879,0.01097465,0.680466672,0.00815164,0.998142004,0.01439461
cESBL1_pESBL15,cESBL1,pESBL15,LB,0.089544443,0.001908583,0.002097004,0.632733332,0.142097277,0.135469266,0.010112087,0.011135872,1.080670522,0.084689934,0.571557817,0.001139867,0.983378349,0.027920039,12.98547713,0.07514607,0.98150188,0.009139348,0.689999998,0.00755212,1.012125955,0.013738994
