strain,host,plasmid,medium,replicate,plate,well,OD_abs,OD_culture,OD_norm,OD_norm.rel
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,M9,1,2,A5,0.559599996,0.192499995,2.907013036,1.675532673
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,M9,2,2,E3,0.668299973,0.242599994,2.754740271,1.587766299
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,M9,2,3,E8,0.283699989,0.289900005,0.978613262,0.56404924
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,M9,3,3,F10,0.282000005,0.25819999,1.092176671,0.629504469
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,M9,1,3,H4,0.361999989,0.253899992,1.425758175,0.821772856
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,M9,1,1,B10,0.458499998,0.229900002,1.994345337,1.149492875
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,M9,3,1,C11,0.334699988,0.237599999,1.408669992,0.811923637
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,M9,2,1,D3,0.32249999,0.266200006,1.211495053,0.698276726
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,M9,2,2,E12,0.466500014,0.225799993,2.065987729,1.190785834
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,M9,1,2,G6,0.698000014,0.222800002,3.132854619,1.805702351
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,M9,3,2,G7,0.664499998,0.227400005,2.922163518,1.684265047
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,M9,2,3,E3,0.300399989,0.269699991,1.113830179,0.641985032
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,M9,3,3,F2,0.317200005,0.293199986,1.081855457,0.623555568
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,M9,1,3,F9,0.338699996,0.262899995,1.288322568,0.742558265
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,M9,3,1,E3,0.352699995,0.229100004,1.539502353,0.887332275
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,M9,2,1,E7,0.490399987,0.209600002,2.339694575,1.348543903
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,M9,1,1,G5,0.566999972,0.207000002,2.739130269,1.578769068
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,M9,3,2,A1,0.550499976,0.227400005,2.420844168,1.395316584
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,M9,1,2,A9,0.448700011,0.215000004,2.08697676,1.202883408
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,M9,2,2,C8,0.589399993,0.209099993,2.818747072,1.624658285
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,M9,1,3,A5,0.540499985,0.222000003,2.434684587,1.40329387
MG1655+Stm_pKPC1,MG1655+Stm,pKPC1,M9,2,3,E6,0.273600012,0.240600005,1.137157135,0.65543013
