strain,host,plasmid,medium,mumax,mumax.rel,auc,auc.rel,maxOD,maxOD.rel
MG1655_pESBL15,MG1655,pESBL15,LB,0.63069266,0.820152596,13.52780826,1.008291579,0.694800019,1.009492461
MG1655_pESBL25,MG1655,pESBL25,LB,0.707930545,0.920592725,12.74166059,0.949696273,0.626900017,0.910838836
MG1655_pESBL25,MG1655,pESBL25,LB,0.747586203,0.972160935,13.1385902,0.979281315,0.685100019,0.995399086
MG1655_pESBL25,MG1655,pESBL25,LB,0.763297023,0.992591281,13.43877521,1.001655524,0.688300014,1.00004844
MG1655_pKPC,MG1655,pKPC,LB,0.678128373,0.881837988,12.96673638,0.966472237,0.67839998,0.985664431
MG1655_pKPC,MG1655,pKPC,LB,0.755398855,0.982320506,13.33785528,0.994133485,0.680400014,0.98857033
MG1655_pKPC,MG1655,pKPC,LB,0.636810913,0.828108772,13.04508207,0.972311711,0.707499981,1.027944556
MG1655_pOXA48,MG1655,pOXA48,LB,0.657330017,0.85479181,12.54517,0.935050899,0.665799975,0.967357566
MG1655_pOXA48,MG1655,pOXA48,LB,0.660288089,0.858638486,13.2395728,0.986808026,0.67869997,0.986100294
MG1655_pOXA48,MG1655,pOXA48,LB,0.56863695,0.739455365,13.82329353,1.030315495,0.716700017,1.04131152
MG1655+Cm,MG1655+Cm,NA,LB,0.699180914,0.948835646,12.63706551,0.995330917,0.647499979,0.982449911
MG1655+Cm,MG1655+Cm,NA,LB,0.798009239,1.082952348,12.05774456,0.949701966,0.628099978,0.953014344
MG1655+Cm,MG1655+Cm,NA,LB,0.713459026,0.968212006,13.39422731,1.054967117,0.701600015,1.064535745
MG1655+Cm_pESBL1,MG1655+Cm,pESBL1,LB,0.72269963,0.98075213,12.48216058,0.983130169,0.669799984,1.016285647
MG1655+Cm_pESBL1,MG1655+Cm,pESBL1,LB,0.701771458,0.952351189,13.69723706,1.078833018,0.713699996,1.082895012
MG1655+Cm_pESBL1,MG1655+Cm,pESBL1,LB,0.659592221,0.89511112,11.92973835,0.939619836,0.632099986,0.959083545
MG1655+Cm_pESBL15,MG1655+Cm,pESBL15,LB,0.556200142,0.754801097,12.50580935,0.984992813,0.674799979,1.023872125
MG1655+Cm_pESBL15,MG1655+Cm,pESBL15,LB,0.684421766,0.928806487,12.81238169,1.009139314,0.662500024,1.005209438
MG1655+Cm_pESBL15,MG1655+Cm,pESBL15,LB,0.706575232,0.958870235,13.42918797,1.057720716,0.697799981,1.058769964
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,LB,0.727626719,0.987438522,12.84128021,1.011415443,0.670000017,1.016589156
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,LB,0.777521558,1.055149183,13.15096481,1.035807076,0.664900005,1.008850922
MG1655+Cm_pESBL25,MG1655+Cm,pESBL25,LB,0.675023523,0.916052438,12.83256803,1.010729247,0.680999994,1.033279391
MG1655+Cm_pKPC,MG1655+Cm,pKPC,LB,0.702143537,0.952856125,13.37774087,1.053668598,0.682399988,1.035403598
MG1655+Cm_pKPC,MG1655+Cm,pKPC,LB,0.636889317,0.864301749,13.98067311,1.101157241,0.707499981,1.073487747
MG1655+Cm_pKPC,MG1655+Cm,pKPC,LB,0.619918421,0.841271098,13.98951001,1.10185326,0.725199997,1.100343932
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,LB,0.656582432,0.891026634,12.92672576,1.018145376,0.683700025,1.03737614
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,LB,0.704254781,0.955721226,13.39473974,1.055007476,0.703599989,1.0675703
MG1655+Cm_pOXA48,MG1655+Cm,pOXA48,LB,0.696535437,0.945245555,14.36005418,1.131038364,0.7324,1.111268476
MG1655+Stm,MG1655+Stm,NA,LB,0.628880718,1.027968316,12.20554949,0.974035506,0.654999971,0.97843943
MG1655+Stm,MG1655+Stm,NA,LB,0.634631936,1.037369255,12.80938179,1.022222939,0.675800025,1.009510566
MG1655+Stm,MG1655+Stm,NA,LB,0.571798926,0.934662429,12.57779327,1.003741555,0.67750001,1.012050004
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,LB,0.620603502,1.014438379,12.35447942,0.985920513,0.667699993,0.997410732
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,LB,0.568708405,0.929610663,12.36917878,0.987093561,0.671700001,1.003385947
MG1655+Stm_pESBL1,MG1655+Stm,pESBL1,LB,0.5990709,0.979241192,12.92663828,1.03158032,0.687600017,1.027137402
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,LB,0.5067695,0.828365339,11.48389806,0.916445791,0.643999994,0.962007656
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,LB,0.616382149,1.007538156,12.51962131,0.999099277,0.652700007,0.975003742
MG1655+Stm_pESBL15,MG1655+Stm,pESBL15,LB,0.591423828,0.96674129,12.9625616,1.034447098,0.68690002,1.026091746
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,LB,0.550109438,0.899208794,11.98701061,0.956595519,0.6505,0.97171737
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,LB,0.544041036,0.889289385,11.96612398,0.954928709,0.667200029,0.996663885
MG1655+Stm_pESBL25,MG1655+Stm,pESBL25,LB,0.549501574,0.89821518,12.29645744,0.981290203,0.658999979,0.984414645
MG1655+Stm_pKPC,MG1655+Stm,pKPC,LB,0.636960697,1.041175848,12.64023992,1.008724965,0.684400022,1.022357247
MG1655+Stm_pKPC,MG1655+Stm,pKPC,LB,0.618029519,1.010230948,12.40506436,0.989957326,0.674799979,1.008016696
MG1655+Stm_pKPC,MG1655+Stm,pKPC,LB,0.576964472,0.943106028,13.44661235,1.073075643,0.706700027,1.055669011
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,LB,0.509395078,0.832657109,11.96658639,0.954965611,0.674000025,1.006821724
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,LB,0.616243063,1.007310807,12.86592892,1.026735551,0.680599988,1.016680754
MG1655+Stm_pOXA48,MG1655+Stm,pOXA48,LB,0.591134526,0.966268397,12.6113167,1.006416815,0.674499989,1.007568571
cESBL1,cESBL1,NA,M9,0.371476664,0.875491583,7.55445325,0.88491846,0.442099988,0.875734547
cESBL1,cESBL1,NA,M9,0.419750237,0.989262141,8.080402248,0.946527416,0.469700009,0.930406097
cESBL1,cESBL1,NA,M9,0.481692237,1.135246277,9.975820248,1.168554123,0.602699995,1.193859356
cESBL1_pESBL1,cESBL1,pESBL1,M9,0.341800542,0.805551268,9.126900488,1.069112808,0.585699975,1.160184836
cESBL1_pESBL1,cESBL1,pESBL1,M9,0.430691583,1.015048568,8.062453241,0.944424894,0.458200008,0.9076263
cESBL1_pESBL1,cESBL1,pESBL1,M9,0.307405423,0.724489279,8.863513481,1.038260009,0.605000019,1.198415363
cESBL1_pESBL15,cESBL1,pESBL15,M9,0.500571234,1.179740062,10.03396704,1.17536536,0.556500018,1.102344049
cESBL1_pESBL15,cESBL1,pESBL15,M9,0.460409706,1.085087871,9.209833316,1.078827448,0.560000002,1.109276999
cESBL1_pESBL15,cESBL1,pESBL15,M9,0.279339806,0.658344581,8.167422909,0.956720899,0.514699996,1.019544402
cESBL1_pESBL25,cESBL1,pESBL25,M9,0.413371558,0.974228948,8.490718943,0.99459136,0.464100003,0.919313316
cESBL1_pESBL25,cESBL1,pESBL25,M9,0.4177486,0.984544708,8.806003384,1.031523354,0.484100014,0.958930373
cESBL1_pESBL25,cESBL1,pESBL25,M9,0.293655257,0.692083059,8.025617272,0.940109978,0.449000001,0.88940245
cESBL1_pKPC,cESBL1,pKPC,M9,0.293743655,0.692291396,7.616974951,0.892242168,0.445300013,0.882073322
cESBL1_pKPC,cESBL1,pKPC,M9,0.423812653,0.998836392,9.595864677,1.12404664,0.589900017,1.168504497
cESBL1_pKPC,cESBL1,pKPC,M9,0.335514491,0.790736382,8.688434386,1.017751481,0.518700004,1.027467825
cESBL1_pOXA48,cESBL1,pOXA48,M9,0.409127487,0.964226576,9.184647732,1.075877242,0.555400014,1.100165105
