Trial.date,image.ID,Microbetreatment,Assay.replicate,Timepoint,Minutes,initialOD,Total.pollen,number.germ,number.burst,number.tip.burst,Proportion.germinated,Proportion.burst,Proportion_tip_burst,allgerm,allburst
01.16.20,d3,(1:5),3,12h,720,0.02,54,9,4,13,0.166666667,0.074074074,0.240740741,0.407407407,0.314814815
01.16.20,e3,(1:20),3,12h,720,0.005,41,7,3,6,0.170731707,0.073170732,0.146341463,0.317073171,0.219512195
01.16.20,f3,(1:100),3,12h,720,0.001,48,15,0,11,0.3125,0,0.229166667,0.541666667,0.229166667
01.16.20,g3,(sterile BK),3,12h,720,0,59,2,2,0,0.033898305,0.033898305,0,0.033898305,0.033898305
01.16.20,a1,(undiluted),1,24h,1440,0.1,30,0,2,8,0,0.066666667,0.266666667,0.266666667,0.333333333
01.16.20,b1,(1:2),1,24h,1440,0.05,39,3,3,11,0.076923077,0.076923077,0.282051282,0.358974359,0.358974359
01.16.20,c1,(1:3),1,24h,1440,0.033333333,28,5,2,6,0.178571429,0.071428571,0.214285714,0.392857143,0.285714286
01.16.20,d1,(1:5),1,24h,1440,0.02,57,4,1,17,0.070175439,0.01754386,0.298245614,0.368421053,0.315789474
01.16.20,e1,(1:20),1,24h,1440,0.005,50,2,4,17,0.04,0.08,0.34,0.38,0.42
01.16.20,f1,(1:100),1,24h,1440,0.001,53,5,0,22,0.094339623,0,0.41509434,0.509433962,0.41509434
01.16.20,g1,(sterile BK),1,24h,1440,0,60,2,0,0,0.033333333,0,0,0.033333333,0
01.16.20,a2,(undiluted),2,24h,1440,0.1,31,1,0,13,0.032258065,0,0.419354839,0.451612903,0.419354839
01.16.20,b2,(1:2),2,24h,1440,0.05,44,3,1,14,0.068181818,0.022727273,0.318181818,0.386363636,0.340909091
01.16.20,c2,(1:3),2,24h,1440,0.033333333,45,2,1,14,0.044444444,0.022222222,0.311111111,0.355555556,0.333333333
01.16.20,d2,(1:5),2,24h,1440,0.02,48,5,1,12,0.104166667,0.020833333,0.25,0.354166667,0.270833333
01.16.20,e2,(1:20),2,24h,1440,0.005,45,8,1,14,0.177777778,0.022222222,0.311111111,0.488888889,0.333333333
01.16.20,f2,(1:100),2,24h,1440,0.001,80,6,1,29,0.075,0.0125,0.3625,0.4375,0.375
01.16.20,g2,(sterile BK),2,24h,1440,0,41,0,0,0,0,0,0,0,0
01.16.20,a3,(undiluted),3,24h,1440,0.1,42,3,3,15,0.071428571,0.071428571,0.357142857,0.428571429,0.428571429
01.16.20,b3,(1:2),3,24h,1440,0.05,29,4,0,11,0.137931034,0,0.379310345,0.517241379,0.379310345
01.16.20,c3,(1:3),3,24h,1440,0.033333333,35,4,1,10,0.114285714,0.028571429,0.285714286,0.4,0.314285714
01.16.20,d3,(1:5),3,24h,1440,0.02,29,4,0,11,0.137931034,0,0.379310345,0.517241379,0.379310345
01.16.20,e3,(1:20),3,24h,1440,0.005,47,7,0,10,0.14893617,0,0.212765957,0.361702128,0.212765957
01.16.20,f3,(1:100),3,24h,1440,0.001,45,4,2,15,0.088888889,0.044444444,0.333333333,0.422222222,0.377777778
01.16.20,g3,(sterile BK),3,24h,1440,0,40,7,0,4,0.175,0,0.1,0.275,0.1
